employee_id,snapshot_record_year,date_hired,date_terminated,age,years_employed,job_title,store_id,gender,status_year,employee_status
1318,12/31/2006,8/28/1989,,52,17,CEO,35,Male,2006,ACTIVE
1318,12/31/2007,8/28/1989,,53,18,CEO,35,Male,2007,ACTIVE
1318,12/31/2008,8/28/1989,,54,19,CEO,35,Male,2008,ACTIVE
1318,12/31/2009,8/28/1989,,55,20,CEO,35,Male,2009,ACTIVE
1318,12/31/2010,8/28/1989,,56,21,CEO,35,Male,2010,ACTIVE
1318,12/31/2011,8/28/1989,,57,22,CEO,35,Male,2011,ACTIVE
1318,12/31/2012,8/28/1989,,58,23,CEO,35,Male,2012,ACTIVE
1318,12/31/2013,8/28/1989,,59,24,CEO,35,Male,2013,ACTIVE
1318,12/31/2014,8/28/1989,,60,25,CEO,35,Male,2014,ACTIVE
1318,12/31/2015,8/28/1989,,61,26,CEO,35,Male,2015,ACTIVE
1319,12/31/2006,8/28/1989,,49,17,VP Stores,35,Female,2006,ACTIVE
1319,12/31/2007,8/28/1989,,50,18,VP Stores,35,Female,2007,ACTIVE
1319,12/31/2008,8/28/1989,,51,19,VP Stores,35,Female,2008,ACTIVE
1319,12/31/2009,8/28/1989,,52,20,VP Stores,35,Female,2009,ACTIVE
1319,12/31/2010,8/28/1989,,53,21,VP Stores,35,Female,2010,ACTIVE
1319,12/31/2011,8/28/1989,,54,22,VP Stores,35,Female,2011,ACTIVE
1319,12/31/2012,8/28/1989,,55,23,VP Stores,35,Female,2012,ACTIVE
1319,12/31/2013,8/28/1989,,56,24,VP Stores,35,Female,2013,ACTIVE
1319,12/31/2014,8/28/1989,,57,25,VP Stores,35,Female,2014,ACTIVE
1319,12/31/2015,8/28/1989,,58,26,VP Stores,35,Female,2015,ACTIVE
1320,12/31/2006,8/28/1989,,51,17,Legal Counsel,35,Female,2006,ACTIVE
1320,12/31/2007,8/28/1989,,52,18,Legal Counsel,35,Female,2007,ACTIVE
1320,12/31/2008,8/28/1989,,53,19,Legal Counsel,35,Female,2008,ACTIVE
1320,12/31/2009,8/28/1989,,54,20,Legal Counsel,35,Female,2009,ACTIVE
1320,12/31/2010,8/28/1989,,55,21,Legal Counsel,35,Female,2010,ACTIVE
1320,12/31/2011,8/28/1989,,56,22,Legal Counsel,35,Female,2011,ACTIVE
1320,12/31/2012,8/28/1989,,57,23,Legal Counsel,35,Female,2012,ACTIVE
1320,12/31/2013,8/28/1989,,58,24,Legal Counsel,35,Female,2013,ACTIVE
1320,12/31/2014,8/28/1989,,59,25,Legal Counsel,35,Female,2014,ACTIVE
1320,12/31/2015,8/28/1989,,60,26,Legal Counsel,35,Female,2015,ACTIVE
1321,12/31/2006,8/28/1989,,47,17,VP Human Resources,35,Male,2006,ACTIVE
1321,12/31/2007,8/28/1989,,48,18,VP Human Resources,35,Male,2007,ACTIVE
1321,12/31/2008,8/28/1989,,49,19,VP Human Resources,35,Male,2008,ACTIVE
1321,12/31/2009,8/28/1989,,50,20,VP Human Resources,35,Male,2009,ACTIVE
